,seg_label,frame_num,area,min_row_bb,min_col_bb,max_row_bb,max_col_bb,centroid_row,centroid_col,major_axis_length,minor_axis_length,max_intensity,mean_intensity,min_intensity,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51,feat_52,feat_53,feat_54,feat_55,feat_56,feat_57,feat_58,feat_59,feat_60,feat_61,feat_62,feat_63,feat_64,feat_65,feat_66,feat_67,feat_68,feat_69,feat_70,feat_71,feat_72,feat_73,feat_74,feat_75,feat_76,feat_77,feat_78,feat_79,feat_80,feat_81,feat_82,feat_83,feat_84,feat_85,feat_86,feat_87,feat_88,feat_89,feat_90,feat_91,feat_92,feat_93,feat_94,feat_95,feat_96,feat_97,feat_98,feat_99,feat_100,feat_101,feat_102,feat_103,feat_104,feat_105,feat_106,feat_107,feat_108,feat_109,feat_110,feat_111,feat_112,feat_113,feat_114,feat_115,feat_116,feat_117,feat_118,feat_119,feat_120,feat_121,feat_122,feat_123,feat_124,feat_125,feat_126,feat_127
0,1,0,69,277,238,286,247,281,242,9.337473201948235,9.337473201948235,254.0,253.5217391304348,253.0,0.030109129846096,-0.063248723745346,0.0782480686902999,0.0509702526032924,0.0923650041222572,0.0008292006677947,-0.0331625416874885,0.165468618273735,0.0719518139958381,-0.0875434502959251,-0.0591060332953929,0.0285543706268072,0.0178080555051565,0.0071197426877915,-0.0426531471312046,0.0893165171146392,0.1078866496682167,-0.0708639919757843,-0.23651884496212,-0.1577545404434204,-0.1114691942930221,-0.0621699392795562,0.0248547941446304,0.1385719180107116,-0.0242882557213306,-0.0023273082915693,0.0268886890262365,-0.0480462722480297,-0.0862228870391845,0.0673508718609809,-0.1738288402557373,-0.1184639036655426,0.0116440011188387,-0.0928415656089782,0.0214848145842552,0.0850219652056694,0.1005894094705581,0.0613527633249759,-0.0772200003266334,-0.0630344748497009,0.0233482681214809,0.0832204520702362,0.0155260330066084,0.013999574817717,-0.0799015909433364,-0.0294653214514255,0.1371725052595138,0.0138767063617706,-0.1757106930017471,-0.0573387965559959,-0.0168148167431354,0.014958600513637,0.095013216137886,-0.0810821503400802,0.1399804055690765,-0.0503575280308723,-0.0793052017688751,0.0265356842428445,0.043866503983736,-0.1021770536899566,-0.0714891776442527,-0.0278246346861124,-0.0175206065177917,-0.103025309741497,-0.0658391788601875,-0.0866848826408386,-0.0632918253540992,-0.1054416745901107,0.0330368243157863,0.089589886367321,0.1353251785039901,0.0045146066695451,-0.0121413012966513,-0.1657772213220596,-0.1681392937898636,0.0537204183638095,-0.1258720606565475,-0.025898577645421,-0.0559473931789398,-0.0963788479566574,-0.0041991001926362,0.0799956172704696,0.0305947437882423,-0.1182820796966552,-0.0756268054246902,0.0824315994977951,-0.0453554689884185,0.0974344909191131,-0.0281675476580858,-0.0475576035678386,0.0736091583967208,-0.0285227466374635,-0.0335050560534,0.060288481414318,-0.0572712980210781,0.0504478104412555,0.0691540017724037,-0.027230467647314,-0.0714583694934845,0.0217302590608596,-0.0359644256532192,0.0901494771242141,-0.0742933228611946,0.3136880695819855,0.0272361766546964,0.0487813055515289,0.2165343463420868,-0.0139357112348079,-0.0914831534028053,0.12613046169281,-0.0719086229801178,-0.039974246174097,-0.0577563382685184,-0.0712594613432884,-0.0969575345516204,-0.1799554526805877,-0.0285991244018077,-0.0332930535078048,-0.0140482047572731,0.146059364080429,-0.0286174807697534,-0.1468218117952346,0.0670878142118454,0.0182149466127157,0.1455618292093277,0.0815226137638092,-0.0181030500680208,0.0588423497974872
1,2,0,69,262,516,271,525,266,520,9.337473201948235,9.337473201948235,254.0,247.0434782608696,178.0,0.0207789205014705,-0.0550821125507354,0.0785237178206443,0.0522179119288921,0.1092292964458465,0.0054770242422819,-0.0381228998303413,0.1664710789918899,0.0648517236113548,-0.0775456950068473,-0.0645579546689987,0.0351037196815013,0.0296647734940052,0.0070761730894446,-0.0356821939349174,0.0882245376706123,0.1172543168067932,-0.0710740908980369,-0.2210494130849838,-0.1695646941661834,-0.087012194097042,-0.054463867098093,0.0422965958714485,0.1201416477560997,-0.0169892311096191,-0.0008247132645919,0.0217724293470382,-0.0653483793139457,-0.0934935212135315,0.0595645755529403,-0.1685604006052017,-0.1304425597190857,0.0301254224032163,-0.1025498956441879,0.0092688174918293,0.0863485485315322,0.0753855109214782,0.0784871354699134,-0.0923253446817398,-0.0430983304977417,0.0182526744902133,0.0972769856452941,0.0228405501693487,0.0202795192599296,-0.0575157925486564,-0.0438864193856716,0.1369882524013519,-0.0009278709185309,-0.178946316242218,-0.0722588151693344,-0.0301496013998985,0.0221128035336732,0.099818967282772,-0.099695011973381,0.1360321342945099,-0.0668685659766197,-0.0735955685377121,0.0179168228060007,0.0577369965612888,-0.1095473021268844,-0.0806885734200477,-0.0468925572931766,0.0010494817979633,-0.0981815904378891,-0.0575077123939991,-0.1007461324334144,-0.0517560467123985,-0.0998563542962074,0.0235161334276199,0.0827335640788078,0.1472374945878982,-0.0148500837385654,-0.0053134141489863,-0.1770775318145752,-0.1663165390491485,0.0611510388553142,-0.1261409819126129,-0.0195367615669965,-0.0525532513856887,-0.101453959941864,-0.0253260638564825,0.0515508763492107,0.0417528599500656,-0.1359262615442276,-0.0701026767492294,0.0802218914031982,-0.0451770722866058,0.0877971947193145,-0.033420629799366,-0.0449501983821392,0.0531699582934379,-0.0243395864963531,-0.0397467501461505,0.0425876230001449,-0.0708873197436332,0.0204754266887903,0.0570549331605434,-0.0269620902836322,-0.0608550272881984,0.0005539711564779,-0.0276734940707683,0.0850239172577858,-0.0942427143454551,0.2975228130817413,0.0209991112351417,0.0512493550777435,0.212571233510971,-0.0015242794761434,-0.1154833137989044,0.1300514638423919,-0.0729585066437721,-0.0423267781734466,-0.0621040016412735,-0.0850841552019119,-0.1033067107200622,-0.1729581803083419,-0.0364565327763557,-0.0126444650813937,-0.0173967238515615,0.1480370163917541,-0.0352155603468418,-0.14884614944458,0.0609456486999988,0.0293524973094463,0.133641168475151,0.0651947259902954,0.0050722174346446,0.0798159539699554
2,3,0,69,204,593,213,602,208,597,9.337473201948235,9.337473201948235,254.0,253.9710144927536,253.0,0.0302831828594207,-0.0631539747118949,0.0786027684807777,0.0501608401536941,0.0932331457734108,0.0006979309255257,-0.0331052802503109,0.1659701615571975,0.0712833926081657,-0.087765596807003,-0.0595234371721744,0.0281767211854457,0.0175255108624696,0.0079369852319359,-0.0419554486870765,0.0883935540914535,0.10735335201025,-0.0701264068484306,-0.2366129606962204,-0.1578290611505508,-0.1106484085321426,-0.0611654259264469,0.0254079382866621,0.1391238570213318,-0.024327166378498,-0.0021290960721671,0.0274783466011285,-0.0478001348674297,-0.086609348654747,0.0677844583988189,-0.173529252409935,-0.118356205523014,0.0114287082105875,-0.093723326921463,0.0203310027718544,0.0850173160433769,0.1004440411925315,0.0617689676582813,-0.0774768963456153,-0.0632358118891716,0.0239474046975374,0.0823904946446418,0.0164827220141887,0.0144179016351699,-0.0793466940522193,-0.0295291859656572,0.1368370950222015,0.0143277710303664,-0.1751411259174347,-0.0585355311632156,-0.0169398188591003,0.0155715066939592,0.0950611978769302,-0.0810552313923835,0.139688178896904,-0.0505347773432731,-0.0790398195385932,0.026693457737565,0.0433289892971515,-0.1026028841733932,-0.0719579085707664,-0.0278893783688545,-0.0166478399187326,-0.1022872850298881,-0.0656083822250366,-0.0867638364434242,-0.062944196164608,-0.1051982417702674,0.0319246277213096,0.0888533145189285,0.1362957060337066,0.0041339620947837,-0.0118354726582765,-0.1657135486602783,-0.167483240365982,0.0536711551249027,-0.1255712211132049,-0.0264507085084915,-0.0552366487681865,-0.0969671458005905,-0.0042195538990199,0.0790661126375198,0.0308241229504346,-0.1189808174967765,-0.0760988742113113,0.0822440236806869,-0.0452655553817749,0.097394973039627,-0.0278707258403301,-0.0469866506755352,0.0738919451832771,-0.0276106465607881,-0.0331126078963279,0.0605872422456741,-0.0574036203324794,0.0500263795256614,0.0693602263927459,-0.0273011531680822,-0.0721021443605423,0.0216015353798866,-0.0355142317712307,0.0898475497961044,-0.0745134428143501,0.3144598007202148,0.0272317454218864,0.0494862906634807,0.2168278694152832,-0.0142124537378549,-0.0920731052756309,0.126062586903572,-0.0727539137005806,-0.0397074893116951,-0.0582543015480041,-0.0716788843274116,-0.0966680720448494,-0.1800303012132644,-0.0284456349909305,-0.0331382863223552,-0.0136051140725612,0.1463702172040939,-0.0286826062947511,-0.1463103592395782,0.0670947879552841,0.0177402328699827,0.1450674831867218,0.0815352648496627,-0.0178715158253908,0.0591592043638229
3,4,0,69,354,412,363,421,358,416,9.337473201948235,9.337473201948235,254.0,252.07246376811597,231.0,0.0283926762640476,-0.0610713027417659,0.0800745412707328,0.0530228726565837,0.0891326367855072,0.0005173492827452,-0.0364976376295089,0.1667699366807937,0.0726079493761062,-0.0907989889383316,-0.0539351850748062,0.0319018848240375,0.0193646438419818,0.0066181770525872,-0.0438935868442058,0.084912970662117,0.1024937182664871,-0.0698603615164756,-0.2393604516983032,-0.1593858152627945,-0.1042963415384292,-0.0585483983159065,0.0253389161080122,0.1349557340145111,-0.0181861501187086,-0.007760108448565,0.0294010024517774,-0.0526667088270187,-0.0889617130160331,0.0665062442421913,-0.1764669567346573,-0.1178253591060638,0.0131274498999118,-0.0940032005310058,0.0218055732548236,0.0892223790287971,0.1017198860645294,0.0594082958996295,-0.0817746967077255,-0.0595218986272811,0.0217175539582967,0.0892006605863571,0.0168371200561523,0.0144448187202215,-0.0788318365812301,-0.0315487906336784,0.1413469314575195,0.0105862272903323,-0.1836254894733429,-0.0586514621973037,-0.0098307002335786,0.0106672327965497,0.0950705111026763,-0.0867867767810821,0.1352234482765197,-0.0569789633154869,-0.0759247243404388,0.0254359729588031,0.0436733141541481,-0.1070896089076995,-0.0718561485409736,-0.0293198227882385,-0.0142673542723059,-0.1031631454825401,-0.0681471154093742,-0.0904263108968734,-0.0634966716170311,-0.1029692664742469,0.0310643278062343,0.0971605628728866,0.1411464810371399,0.0033535570837557,-0.0198627319186925,-0.1650701314210891,-0.1655596941709518,0.0529898069798946,-0.122573010623455,-0.0242560971528291,-0.0534603409469127,-0.0977242588996887,0.0030838726088404,0.0825453102588653,0.0269146356731653,-0.1182304844260215,-0.0733281746506691,0.0869507119059562,-0.0401299372315406,0.092213436961174,-0.0281479451805353,-0.0444560386240482,0.0729797333478927,-0.0313119366765022,-0.0375466756522655,0.0633109211921691,-0.0507764667272567,0.0548985116183757,0.0658083036541938,-0.0261946581304073,-0.0678832828998565,0.0213752202689647,-0.0389832518994808,0.0878895819187164,-0.076926089823246,0.3072372078895569,0.0308229327201843,0.0465542711317539,0.2158946245908737,-0.0120988367125391,-0.0938842967152595,0.1278115212917328,-0.0708281397819519,-0.0413070395588874,-0.0584055483341217,-0.0692559480667114,-0.0945176482200622,-0.1766916513442993,-0.0289827343076467,-0.0372769497334957,-0.019959719851613,0.1452216655015945,-0.0286092441529035,-0.1455702036619186,0.066103495657444,0.0137266749516129,0.1493263989686966,0.0784293487668037,-0.0176666975021362,0.0498887635767459
4,5,0,69,360,506,369,515,364,510,9.337473201948235,9.337473201948235,254.0,244.28985507246375,199.0,0.0297766998410224,-0.0656335800886154,0.06846434623003,0.0643789917230606,0.0841940119862556,-0.0066088489256799,-0.0440126322209835,0.1547392010688781,0.090755246579647,-0.092265248298645,-0.0544180944561958,0.017687976360321,0.016028206795454,-0.0014544342411682,-0.0533152520656585,0.0982710272073745,0.1185413151979446,-0.0649637132883071,-0.24032624065876,-0.1613701581954956,-0.1274532526731491,-0.0654723495244979,0.0196943171322345,0.1354590654373169,-0.0125194042921066,-0.004526340868324,0.0138943046331405,-0.0445422418415546,-0.0920703187584877,0.0539907030761241,-0.1687797755002975,-0.1174277663230896,0.0265638772398233,-0.083884947001934,0.0162071045488119,0.0964307710528373,0.0986292883753776,0.0572902336716651,-0.0820896700024604,-0.0560866296291351,0.0081026889383792,0.0876089110970497,0.013162886723876,0.0119433533400297,-0.0746618509292602,-0.0309757050126791,0.1321629881858825,0.0037882525939494,-0.1710106581449508,-0.0536877885460853,-0.0193103104829788,-0.007555569987744,0.0878678411245346,-0.0905086919665336,0.1347693800926208,-0.0472155585885047,-0.0972360149025917,0.0218689814209938,0.0494223497807979,-0.1098260432481765,-0.0650361701846122,-0.0438481457531452,-0.0229276660829782,-0.1044717580080032,-0.0610428676009178,-0.0763036385178566,-0.0670637115836143,-0.1075928136706352,0.0394427627325058,0.1097106784582138,0.132728561758995,0.0162038300186395,-0.0221163034439086,-0.1806922107934951,-0.1772344559431076,0.0641239732503891,-0.116664670407772,-0.0216556284576654,-0.0605799593031406,-0.1024277880787849,-0.0111335767433047,0.0770346894860267,0.0409569218754768,-0.1272341609001159,-0.0690180584788322,0.0861578211188316,-0.0501068644225597,0.0853015407919883,-0.0240561868995428,-0.0599033795297145,0.0713841766119003,-0.0391494967043399,-0.0482189692556858,0.0445589050650596,-0.0512607954442501,0.0537087619304657,0.0466280840337276,-0.0258063655346632,-0.064367190003395,0.0169057175517082,-0.0395400933921337,0.075807511806488,-0.0734625235199928,0.3039104342460632,0.038198634982109,0.0375844053924083,0.2082621902227401,0.0117996269837021,-0.0887973234057426,0.1388477981090545,-0.0607147216796875,-0.0444650463759899,-0.0573464035987854,-0.0623075999319553,-0.0856252536177635,-0.1779864132404327,-0.0226333327591419,-0.0420999750494957,-0.0184337813407182,0.1500678956508636,-0.0453236699104309,-0.1425714492797851,0.0599119812250137,0.030932355672121,0.1389156728982925,0.0840881615877151,-0.0088417436927557,0.0537884756922721
5,6,0,69,346,583,355,592,350,587,9.337473201948235,9.337473201948235,254.0,227.65217391304347,95.0,-0.007141931913793,-0.0276318248361349,0.0452229045331478,0.0385795049369335,0.0875407308340072,0.0048018391244113,-0.0489797070622444,0.1563428789377212,0.1012068763375282,-0.1303432583808899,-0.0788332223892211,-0.0067498483695089,0.0252468474209308,-0.0124357780441641,-0.0401288531720638,0.0734520927071571,0.112103596329689,-0.0772178918123245,-0.2667707800865173,-0.144902765750885,-0.1245470866560936,-0.0953699126839637,-0.0186778232455253,0.1063660010695457,-0.0160366501659154,0.0225536916404962,0.0425478145480155,-0.0396495759487152,-0.0968524664640426,0.0683002099394798,-0.1450214833021164,-0.0951662883162498,0.0274384021759033,-0.1087811365723609,0.0415815226733684,0.1230280473828315,0.0899730250239372,0.05495485663414,-0.0860786736011505,-0.0909266620874404,-0.0083128474652767,0.092846393585205,0.0085016284137964,-0.0017480766400694,-0.0638407543301582,-0.0298970062285661,0.1134552434086799,0.0117082521319389,-0.2015710473060608,-0.0286386534571647,-0.0299153085798025,-0.0323457568883895,0.0633213445544242,-0.089332714676857,0.1465023308992386,-0.0447307005524635,-0.0759823694825172,0.0580155253410339,0.0661450624465942,-0.0921534746885299,-0.0820873007178306,-0.0415533892810344,-0.0099819097667932,-0.1200499311089515,-0.0454084984958171,-0.112107440829277,-0.0943144187331199,-0.1045476198196411,0.0502584427595138,0.0806143134832382,0.1549583524465561,0.0187721047550439,-0.0244487524032592,-0.1312031745910644,-0.1766872256994247,0.0717361941933631,-0.107279822230339,-0.0072726127691566,-0.0488684996962547,-0.106193907558918,-0.0205310340970754,0.0845031067728996,0.0131583176553249,-0.1033468395471572,-0.0539930835366249,0.0760082155466079,-0.0707898065447807,0.0773600563406944,-0.029270052909851,-0.0713534206151962,0.079822152853012,-0.0451615564525127,-0.0469684079289436,0.0501892380416393,-0.0512939803302288,0.0790538117289543,0.0598752424120903,0.0109500084072351,-0.0386861339211463,0.0162563994526863,-0.0149107715114951,0.0547195002436637,-0.0847839564085006,0.285708487033844,0.0300812534987926,0.0131979538127779,0.2094521224498748,-0.0121022220700979,-0.0612642839550972,0.0978863909840583,-0.0295907892286777,-0.0308186560869216,-0.0831925198435783,-0.0660568252205848,-0.1061095595359802,-0.1531287431716919,-0.0402967892587184,-0.0601218827068805,-0.0088313715532422,0.1959196776151657,-0.064263217151165,-0.1564238667488098,0.0582604110240936,0.0153190931305289,0.1307106763124466,0.0527155175805091,-0.044999536126852,0.0537571795284748
6,7,0,69,392,646,401,655,396,650,9.337473201948235,9.337473201948235,254.0,251.20289855072463,193.0,0.0397275499999523,-0.0625386834144592,0.0805489271879196,0.058898102492094,0.099472276866436,0.0107717746868729,-0.0311749745160341,0.1629938036203384,0.0615556612610816,-0.0935333371162414,-0.0552944615483284,0.028557239100337,0.035888522863388,0.0102801248431205,-0.0355390459299087,0.0997448787093162,0.1036930009722709,-0.0706031545996666,-0.2386328130960464,-0.1611132621765136,-0.1107084974646568,-0.0677619874477386,0.0164177194237709,0.1286925226449966,-0.0216716807335615,0.004494693595916,0.0362180434167385,-0.0496514961123466,-0.0860658064484596,0.0682812705636024,-0.1869688034057617,-0.1202410161495208,0.0211717169731855,-0.0854195281863212,0.0331505164504051,0.0909536778926849,0.0880422219634056,0.0538155101239681,-0.0742424204945564,-0.0545641332864761,0.0227612312883138,0.0943630263209343,0.0121073788031935,0.0150799974799156,-0.0649859905242919,-0.0123767908662557,0.1304547935724258,0.006156716030091,-0.1766559034585952,-0.054347388446331,-0.0049039283767342,0.0110938884317874,0.0915373116731643,-0.0744648426771164,0.144449234008789,-0.0582630224525928,-0.0775719806551933,0.0278379786759614,0.0470735989511013,-0.1110235601663589,-0.0676328316330909,-0.0313869565725326,-0.0221439972519874,-0.1059811562299728,-0.0562999844551086,-0.0890481621026992,-0.0707904174923896,-0.1008975580334663,0.0421204008162021,0.0873203054070472,0.1351725310087204,0.0097500393167138,-0.007118331734091,-0.1577783226966858,-0.1622411459684372,0.0582500472664833,-0.1327192187309265,-0.0256238672882318,-0.0505286082625389,-0.0917633548378944,-0.0038533159531652,0.0689251348376274,0.0257701128721237,-0.1256628185510635,-0.069465234875679,0.0643371418118476,-0.0497595928609371,0.0933639034628868,-0.0260263700038194,-0.0496547929942607,0.0721122473478317,-0.0307638831436634,-0.0371614508330822,0.0633758157491684,-0.0591826289892196,0.049241978675127,0.0671634227037429,-0.0210207756608724,-0.0839790627360344,0.015393828973174,-0.0331721752882003,0.0794977247714996,-0.078844353556633,0.3088338375091553,0.0339719578623771,0.0365877114236354,0.2206395119428634,-0.0150448167696595,-0.0993421003222465,0.1259871870279312,-0.0754166096448898,-0.0222991686314344,-0.0550185069441795,-0.0699632838368415,-0.0946087911725044,-0.1845691800117492,-0.035095777362585,-0.0276173446327447,-0.017356114462018,0.142553448677063,-0.0218606479465961,-0.1532137244939804,0.0796048864722251,0.0219960659742355,0.148961141705513,0.0793872252106666,-0.0159532371908426,0.0609273612499237
7,8,0,69,445,567,454,576,449,571,9.337473201948235,9.337473201948235,253.0,226.2173913043478,141.0,0.0118340933695435,-0.0441746786236763,0.0756479427218437,0.0258193556219339,0.0852278843522071,0.0118987588211894,-0.073577381670475,0.1559114605188369,0.101413756608963,-0.0970996096730232,-0.0671498700976371,0.0172017682343721,0.0105860363692045,0.0194311700761318,-0.0577661246061325,0.0788347050547599,0.1128794848918914,-0.0412055030465126,-0.2335179150104522,-0.1545599997043609,-0.1504261195659637,-0.0747446045279502,0.0219446010887622,0.0909560471773147,-0.0051443092525005,-0.0041394205763936,0.0089555643498897,-0.0564388446509838,-0.0934388265013694,0.0440601967275142,-0.144116923213005,-0.1067598015069961,0.0378480702638626,-0.1060444340109825,0.0417088158428669,0.1089956611394882,0.0970167070627212,0.0732399225234985,-0.0764122977852821,-0.0451045595109462,-0.0071644904091954,0.0928974673151969,0.0092829167842864,0.0124304601922631,-0.0690996870398521,-0.064918614923954,0.1451879441738128,-0.002204978140071,-0.190530464053154,-0.0729199200868606,-0.0421403497457504,-0.0385650210082531,0.0685620903968811,-0.1176662594079971,0.1329783499240875,-0.0476960316300392,-0.0825666785240173,0.0347856916487216,0.0506911762058734,-0.1394014954566955,-0.0768131166696548,-0.0242149122059345,-0.034890528768301,-0.1130481734871864,-0.0811916440725326,-0.092634230852127,-0.0768572241067886,-0.068415455520153,0.0230744909495115,0.0940487831830978,0.1697341650724411,0.0344841256737709,-0.0107690459117293,-0.1494031399488449,-0.1564758718013763,0.0555120781064033,-0.1186534985899925,-0.005497230682522,-0.046922817826271,-0.0890411064028739,-0.0327398777008056,0.0812521576881408,0.0317423045635223,-0.1218766495585441,-0.0736641511321067,0.08724395185709,-0.0421443656086921,0.1026069149374961,-0.0082022221758961,-0.0845459327101707,0.0526219978928566,-0.0503654032945632,-0.017586501315236,0.0316776968538761,-0.0303749088197946,0.073317751288414,0.0360855348408222,-0.0122149782255291,-0.0355555340647697,0.052364133298397,-0.0480192750692367,0.0626956447958946,-0.0998035743832588,0.2936984598636627,0.0573668777942657,0.0376613847911357,0.1904918551445007,0.0122942673042416,-0.0719509050250053,0.1279033869504928,-0.0150626096874475,-0.039968442171812,-0.0549515560269355,-0.0841722786426544,-0.0742279589176178,-0.1640828102827072,-0.037210963666439,-0.037119697779417,0.0089834723621606,0.1952133029699325,-0.0630077868700027,-0.1554886102676391,0.0606650486588478,0.0347780920565128,0.1286688297986984,0.0798703953623771,-0.0317663922905921,0.0270463582128286
8,9,0,69,481,481,490,490,485,485,9.337473201948235,9.337473201948235,253.0,215.44927536231884,86.0,0.0456748567521572,-0.0456055700778961,0.0688696503639221,0.0589067190885543,0.0879160612821579,0.0366640836000442,-0.0386023037135601,0.1448740810155868,0.0682460591197013,-0.1046014353632927,-0.0590017586946487,0.0496025793254375,0.0755082294344902,0.0071626934222877,-0.0424216873943805,0.0860823392868042,0.1202748790383338,-0.0449093542993068,-0.2117837369441986,-0.1771145164966583,-0.0895101651549339,-0.0465677939355373,0.0491704680025577,0.094862975180149,-0.0173335950821638,-0.0167381521314382,0.0094527881592512,-0.0837933495640754,-0.0711894854903221,0.0590892396867275,-0.1675666868686676,-0.1237722262740135,0.0812229365110397,-0.0882403925061225,0.0566437505185604,0.0936186537146568,0.0754206776618957,0.0750811696052551,-0.0803694427013397,-0.0054489695467054,0.008753172121942,0.1602630615234375,0.0078261252492666,0.0243305824697017,-0.0376274436712265,-0.0273131001740694,0.1190962865948677,-0.0209859833121299,-0.1970475018024444,-0.0826573073863983,-0.0249234680086374,-0.0045341472141444,0.0783039405941963,-0.1235528886318206,0.0931845158338546,-0.0926952809095382,-0.0610321313142776,0.0027120227459818,0.0798143669962883,-0.1392278224229812,-0.0715707913041114,-0.091157279908657,0.0099611775949597,-0.1180513203144073,-0.0569485574960708,-0.1242572516202926,-0.0732387453317642,-0.0885540395975112,0.0001697602128842,0.0949776694178581,0.1774210184812545,0.010602343827486,-0.0225617326796054,-0.1492169201374054,-0.1643928736448288,0.0520896278321743,-0.134008839726448,-0.016592988744378,-0.0499370917677879,-0.1261230409145355,-0.025965467095375,0.0318500734865665,0.0258964784443378,-0.1361084282398224,-0.0652403607964515,0.0728505179286003,-0.0339954271912574,0.0728747174143791,-0.0425518155097961,-0.0609523206949234,0.0245245415717363,-0.0147844413295388,-0.0261227432638406,0.0167689397931098,-0.0403154157102108,0.0105144660919904,0.0281929988414049,-0.0405043512582778,-0.0167487449944019,0.0496853031218051,-0.0213694740086793,0.068520076572895,-0.0978499054908752,0.250270813703537,0.0139021156355738,0.0397974178194999,0.2184562087059021,0.0306125860661268,-0.0828069671988487,0.159648135304451,-0.0644021481275558,-0.0082033183425664,-0.0889971107244491,-0.0765810385346412,-0.0735944285988807,-0.1844820976257324,-0.0450655296444892,-0.0292208231985569,0.0001958636421477,0.1647091805934906,-0.0097144600003957,-0.1508241593837738,0.0694115459918975,0.0679745599627494,0.1315266638994217,0.051532082259655,0.0279482454061508,0.0538355745375156
9,10,0,69,584,433,593,442,588,437,9.337473201948235,9.337473201948235,160.0,117.3768115942029,57.0,0.0385999158024787,-0.0457458235323429,0.0683950632810592,0.0994946956634521,0.0861969143152237,0.0300371721386909,-0.0503172390162944,0.0985665693879127,0.0811872780323028,-0.0843975991010665,-0.0236940626055002,0.0728332921862602,0.0275731831789016,0.0728267505764961,-0.0641754418611526,0.0853325426578521,0.1768802404403686,-0.0013733943924307,-0.1553540527820587,-0.1217796504497528,-0.1127839162945747,-0.0836731791496276,0.0479631684720516,0.0687711089849472,-0.0110237933695316,-0.0370713919401168,-0.0717158392071724,-0.1034836247563362,-0.0475941635668277,0.0490102805197238,-0.1312807351350784,-0.1191263794898986,0.1258888989686966,-0.0791660994291305,0.0652382299304008,0.0884598940610885,0.0358705818653106,0.0452116839587688,-0.1182518824934959,0.0160101670771837,-0.0720270648598671,0.1629770249128341,-0.052129577845335,-0.0132173420861363,0.0050751320086419,-0.0642806142568588,0.1441590636968612,-0.045307632535696,-0.1948434263467788,-0.0671573802828788,-0.0372281521558761,-0.0562203489243984,0.0469228960573673,-0.1230127587914466,0.0697415694594383,-0.046633169054985,-0.0709850490093231,-0.026180425658822,0.0930897668004036,-0.1833306849002838,-0.1075492575764656,-0.0907799676060676,0.0063383085653185,-0.1851244568824768,-0.0568944029510021,-0.0419282503426075,-0.0904583558440208,-0.0075713973492383,0.0189662482589483,0.1686122268438339,0.2044391930103302,0.0795939564704895,-0.0154549675062298,-0.1085331737995147,-0.1314719170331955,0.0303733740001916,-0.1204022988677024,0.0177650414407253,-0.0689897090196609,-0.0947170183062553,-0.1064570471644401,0.0391759388148784,0.0137998396530747,-0.1403881609439849,-0.0409131050109863,0.0971593484282493,0.0462595149874687,0.080476775765419,0.0355962812900543,-0.0974059849977493,-0.034243393689394,-0.0237164217978715,-0.0448308996856212,-0.0228830110281705,-0.0278442855924367,-0.0072319917380809,0.0351126752793788,-0.0744147002696991,-0.006174795795232,0.1246229112148284,-0.0170121379196643,0.0729745998978614,-0.157455563545227,0.1697352975606918,0.0197647903114557,-0.0064732846803963,0.1180718541145324,0.1056932136416435,-0.0430248081684112,0.1769444793462753,-0.0108153307810425,-0.0277875419706106,-0.0904461815953254,-0.046069711446762,-0.0344632193446159,-0.1754172593355178,0.0029782459605485,-0.0408285297453403,0.0223257951438426,0.1834031194448471,-0.0539742186665535,-0.1435139328241348,0.0452921539545059,0.0553416311740875,0.1377636045217514,0.0149951558560132,0.0442781709134578,0.023936117067933
