frame,x,y,w,h,conf,class,track
0,0,0,28,52,1.0,1,-1
0,30,0,74,84,1.0,1,-1
0,82,0,101,108,1.0,1,-1
0,186,0,66,40,1.0,1,-1
0,184,28,54,52,1.0,1,-1
0,942,56,50,40,1.0,1,-1
0,160,82,114,146,1.0,1,-1
0,46,84,44,50,1.0,1,-1
0,0,108,10,12,1.0,1,-1
0,886,116,44,48,1.0,1,-1
0,48,122,90,86,1.0,1,-1
0,0,126,54,64,1.0,1,-1
0,918,188,100,54,1.0,1,-1
0,848,208,48,76,1.0,1,-1
0,166,264,14,10,1.0,1,-1
0,888,266,10,20,1.0,1,-1
0,128,274,84,98,1.0,1,-1
0,954,276,70,68,1.0,1,-1
0,202,288,64,100,1.0,1,-1
0,822,346,58,80,1.0,1,-1
0,914,348,110,180,1.0,1,-1
0,994,362,30,110,1.0,1,-1
0,84,364,72,84,1.0,1,-1
0,654,364,114,112,1.0,1,-1
0,0,366,76,104,1.0,1,-1
0,160,396,82,80,1.0,1,-1
0,548,398,68,68,1.0,1,-1
0,328,400,88,88,1.0,1,-1
0,426,406,84,66,1.0,1,-1
0,30,444,84,82,1.0,1,-1
0,513,450,67,68,1.0,1,-1
0,514,480,136,68,1.0,1,-1
0,408,484,104,60,1.0,1,-1
0,0,500,44,112,1.0,1,-1
0,488,528,30,22,1.0,1,-1
0,748,532,88,122,1.0,1,-1
0,444,544,26,22,1.0,1,-1
0,706,554,72,126,1.0,1,-1
0,454,560,26,36,1.0,1,-1
0,476,566,67,82,1.0,1,-1
0,540,566,78,132,1.0,1,-1
0,628,576,54,78,1.0,1,-1
0,412,584,67,58,1.0,1,-1
0,34,602,90,102,1.0,1,-1
0,966,654,58,28,1.0,1,-1
0,540,686,12,14,1.0,1,-1
0,644,688,62,50,1.0,1,-1
0,730,688,68,84,1.0,1,-1
0,154,694,94,124,1.0,1,-1
0,48,704,130,62,1.0,1,-1
0,808,728,90,72,1.0,1,-1
0,524,736,18,14,1.0,1,-1
0,664,760,82,92,1.0,1,-1
0,860,774,60,50,1.0,1,-1
0,44,792,106,84,1.0,1,-1
0,18,800,26,25,1.0,1,-1
0,726,814,110,124,1.0,1,-1
0,0,826,32,60,1.0,1,-1
0,824,832,82,118,1.0,1,-1
0,162,838,96,84,1.0,1,-1
0,406,854,128,98,1.0,1,-1
0,28,860,126,76,1.0,1,-1
0,588,890,120,84,1.0,1,-1
0,96,912,58,45,1.0,1,-1
0,712,940,98,56,1.0,1,-1
0,260,948,80,76,1.0,1,-1
0,826,951,78,73,1.0,1,-1
0,0,956,62,50,1.0,1,-1
0,63,958,97,60,1.0,1,-1
0,646,962,70,54,1.0,1,-1
0,432,1006,44,18,1.0,1,-1
0,720,1006,56,18,1.0,1,-1
0,488,1008,18,16,1.0,1,-1
1,0,0,28,42,1.0,1,-1
1,30,0,74,80,1.0,1,-1
1,124,0,32,26,1.0,1,-1
1,182,0,72,36,1.0,1,-1
1,128,24,56,58,1.0,1,-1
1,182,28,54,50,1.0,1,-1
1,990,38,34,64,1.0,1,-1
1,86,42,72,64,1.0,1,-1
1,936,52,52,44,1.0,1,-1
1,158,78,112,150,1.0,1,-1
1,46,80,50,46,1.0,1,-1
1,20,92,20,14,1.0,1,-1
1,0,106,48,82,1.0,1,-1
1,48,112,90,96,1.0,1,-1
1,886,116,50,48,1.0,1,-1
1,1016,124,8,22,1.0,1,-1
1,998,152,26,60,1.0,1,-1
1,922,176,102,68,1.0,1,-1
1,258,184,20,20,1.0,1,-1
1,846,194,46,84,1.0,1,-1
1,950,242,4,4,1.0,1,-1
1,166,250,10,10,1.0,1,-1
1,890,252,6,8,1.0,1,-1
1,152,256,10,12,1.0,1,-1
1,960,272,64,74,1.0,1,-1
1,130,274,82,92,1.0,1,-1
1,204,298,64,90,1.0,1,-1
1,820,344,60,78,1.0,1,-1
1,916,348,56,90,1.0,1,-1
1,656,352,74,66,1.0,1,-1
1,992,362,32,110,1.0,1,-1
1,0,364,76,102,1.0,1,-1
1,86,368,70,80,1.0,1,-1
1,160,394,84,86,1.0,1,-1
1,544,396,70,70,1.0,1,-1
1,328,400,88,84,1.0,1,-1
1,702,402,64,62,1.0,1,-1
1,420,404,88,66,1.0,1,-1
1,964,438,16,24,1.0,1,-1
1,30,440,94,88,1.0,1,-1
1,522,450,56,66,1.0,1,-1
1,975,450,31,50,1.0,1,-1
1,518,476,130,70,1.0,1,-1
1,410,482,102,62,1.0,1,-1
1,996,488,28,38,1.0,1,-1
1,0,498,36,110,1.0,1,-1
1,492,516,20,30,1.0,1,-1
1,730,528,132,132,1.0,1,-1
1,444,544,26,20,1.0,1,-1
1,542,558,80,108,1.0,1,-1
1,408,560,136,86,1.0,1,-1
1,706,564,70,108,1.0,1,-1
1,628,570,52,84,1.0,1,-1
1,28,582,80,118,1.0,1,-1
1,556,653,56,43,1.0,1,-1
1,984,654,40,26,1.0,1,-1
1,726,664,18,16,1.0,1,-1
1,538,684,14,12,1.0,1,-1
1,642,684,62,54,1.0,1,-1
1,732,686,68,84,1.0,1,-1
1,206,692,38,42,1.0,1,-1
1,46,702,132,62,1.0,1,-1
1,522,704,30,46,1.0,1,-1
1,804,726,102,94,1.0,1,-1
1,156,728,90,90,1.0,1,-1
1,664,750,80,98,1.0,1,-1
1,24,796,128,108,1.0,1,-1
1,906,804,14,12,1.0,1,-1
1,0,806,34,70,1.0,1,-1
1,726,812,120,122,1.0,1,-1
1,824,830,82,117,1.0,1,-1
1,166,840,90,82,1.0,1,-1
1,406,854,124,96,1.0,1,-1
1,28,872,80,62,1.0,1,-1
1,588,888,120,86,1.0,1,-1
1,62,900,104,116,1.0,1,-1
1,648,935,179,71,1.0,1,-1
1,256,944,92,80,1.0,1,-1
1,828,948,80,76,1.0,1,-1
1,0,956,61,48,1.0,1,-1
1,412,998,96,26,1.0,1,-1
1,714,1006,62,18,1.0,1,-1
2,0,0,18,42,1.0,1,-1
2,30,0,72,82,1.0,1,-1
2,120,0,38,30,1.0,1,-1
2,192,0,64,38,1.0,1,-1
2,86,22,99,88,1.0,1,-1
2,183,28,51,46,1.0,1,-1
2,932,44,92,62,1.0,1,-1
2,14,80,18,28,1.0,1,-1
2,30,80,66,46,1.0,1,-1
2,146,82,112,142,1.0,1,-1
2,0,106,10,14,1.0,1,-1
2,48,114,94,98,1.0,1,-1
2,886,118,40,46,1.0,1,-1
2,0,122,46,64,1.0,1,-1
2,920,176,104,66,1.0,1,-1
2,262,186,18,18,1.0,1,-1
2,844,206,48,72,1.0,1,-1
2,184,254,16,10,1.0,1,-1
2,156,262,8,6,1.0,1,-1
2,132,266,80,100,1.0,1,-1
2,962,276,62,72,1.0,1,-1
2,202,294,72,94,1.0,1,-1
2,652,340,106,122,1.0,1,-1
2,816,344,64,76,1.0,1,-1
2,916,348,56,84,1.0,1,-1
2,996,358,28,100,1.0,1,-1
2,4,364,72,98,1.0,1,-1
2,88,374,68,78,1.0,1,-1
2,528,392,86,116,1.0,1,-1
2,158,394,86,84,1.0,1,-1
2,328,398,88,86,1.0,1,-1
2,420,404,88,66,1.0,1,-1
2,964,432,20,30,1.0,1,-1
2,32,444,90,96,1.0,1,-1
2,978,446,42,56,1.0,1,-1
2,510,476,12,12,1.0,1,-1
2,516,476,132,70,1.0,1,-1
2,424,484,86,57,1.0,1,-1
2,0,496,28,100,1.0,1,-1
2,994,498,30,34,1.0,1,-1
2,496,508,28,38,1.0,1,-1
2,728,528,54,30,1.0,1,-1
2,414,542,132,102,1.0,1,-1
2,750,552,84,86,1.0,1,-1
2,706,554,70,122,1.0,1,-1
2,545,558,87,93,1.0,1,-1
2,18,570,30,34,1.0,1,-1
2,628,570,52,84,1.0,1,-1
2,22,580,80,122,1.0,1,-1
2,546,647,12,19,1.0,1,-1
2,844,648,16,12,1.0,1,-1
2,556,652,56,46,1.0,1,-1
2,984,652,40,28,1.0,1,-1
2,638,680,64,58,1.0,1,-1
2,206,686,34,46,1.0,1,-1
2,522,686,30,66,1.0,1,-1
2,734,686,64,84,1.0,1,-1
2,54,698,124,66,1.0,1,-1
2,152,728,94,90,1.0,1,-1
2,786,730,112,84,1.0,1,-1
2,662,752,80,100,1.0,1,-1
2,30,796,126,136,1.0,1,-1
2,30,806,18,22,1.0,1,-1
2,0,808,30,64,1.0,1,-1
2,784,810,46,54,1.0,1,-1
2,814,826,92,121,1.0,1,-1
2,724,832,84,102,1.0,1,-1
2,168,844,94,78,1.0,1,-1
2,408,854,122,96,1.0,1,-1
2,590,888,114,86,1.0,1,-1
2,56,912,104,98,1.0,1,-1
2,640,922,190,86,1.0,1,-1
2,256,946,86,78,1.0,1,-1
2,828,948,80,76,1.0,1,-1
2,0,954,60,50,1.0,1,-1
2,408,992,98,32,1.0,1,-1
2,718,1006,58,18,1.0,1,-1
3,0,0,20,36,1.0,1,-1
3,30,0,14,16,1.0,1,-1
3,32,0,70,82,1.0,1,-1
3,90,0,95,112,1.0,1,-1
3,192,0,66,32,1.0,1,-1
3,458,0,64,18,1.0,1,-1
3,186,30,50,44,1.0,1,-1
3,90,40,2,2,1.0,1,-1
3,930,48,58,50,1.0,1,-1
3,998,48,26,44,1.0,1,-1
3,16,76,20,22,1.0,1,-1
3,42,78,56,46,1.0,1,-1
3,154,82,112,156,1.0,1,-1
3,0,98,16,22,1.0,1,-1
3,0,116,46,70,1.0,1,-1
3,888,118,42,42,1.0,1,-1
3,40,124,102,88,1.0,1,-1
3,926,178,98,64,1.0,1,-1
3,262,186,20,20,1.0,1,-1
3,1016,192,8,24,1.0,1,-1
3,844,206,48,78,1.0,1,-1
3,130,268,80,96,1.0,1,-1
