src,dst,true_label,ensemble_prob,ensemble_pred,source_frame,source_cellid,target_frame,target_cellid,label
0,8,1.0,0.9986362,1.0,0,1,1,1,1
0,9,1.0,0.9998253,1.0,0,1,1,2,1
0,10,1.0,0.997551,1.0,0,1,1,3,1
0,11,1.0,0.9999068,1.0,0,1,1,4,1
0,12,1.0,0.99988055,1.0,0,1,1,6,1
0,13,1.0,0.99792594,1.0,0,1,1,7,1
0,14,1.0,0.9997905,1.0,0,1,1,8,1
0,15,1.0,0.99571544,1.0,0,1,1,10,1
1,8,1.0,0.9997699,1.0,0,2,1,1,1
1,9,1.0,0.99961895,1.0,0,2,1,2,1
1,10,1.0,0.9944577,1.0,0,2,1,3,1
1,11,1.0,0.99985814,1.0,0,2,1,4,1
1,12,1.0,0.9998316,1.0,0,2,1,6,1
1,13,1.0,0.9941204,1.0,0,2,1,7,1
1,14,1.0,0.99973917,1.0,0,2,1,8,1
1,15,1.0,0.99301404,1.0,0,2,1,10,1
2,8,1.0,0.9999206,1.0,0,3,1,1,1
2,9,1.0,0.9999459,1.0,0,3,1,2,1
2,10,1.0,0.9999134,1.0,0,3,1,3,1
2,11,1.0,0.99996763,1.0,0,3,1,4,1
2,12,1.0,0.99996775,1.0,0,3,1,6,1
2,13,1.0,0.9999133,1.0,0,3,1,7,1
2,14,1.0,0.9999371,1.0,0,3,1,8,1
2,15,1.0,0.9999166,1.0,0,3,1,10,1
3,8,1.0,0.9988355,1.0,0,4,1,1,1
3,9,1.0,0.9981072,1.0,0,4,1,2,1
3,10,1.0,0.9991269,1.0,0,4,1,3,1
3,11,1.0,0.99954826,1.0,0,4,1,4,1
3,12,1.0,0.9994679,1.0,0,4,1,6,1
3,13,1.0,0.9979892,1.0,0,4,1,7,1
3,14,1.0,0.9989802,1.0,0,4,1,8,1
3,15,1.0,0.99947184,1.0,0,4,1,10,1
4,8,1.0,0.9968159,1.0,0,6,1,1,1
4,9,1.0,0.99368304,1.0,0,6,1,2,1
4,10,1.0,0.9915635,1.0,0,6,1,3,1
4,11,1.0,0.99864763,1.0,0,6,1,4,1
4,12,1.0,0.99851567,1.0,0,6,1,6,1
4,13,1.0,0.9649463,1.0,0,6,1,7,1
4,14,1.0,0.9970772,1.0,0,6,1,8,1
4,15,1.0,0.99386597,1.0,0,6,1,10,1
5,8,1.0,0.99989796,1.0,0,7,1,1,1
5,9,1.0,0.99994105,1.0,0,7,1,2,1
5,10,1.0,0.99988574,1.0,0,7,1,3,1
5,11,1.0,0.999959,1.0,0,7,1,4,1
5,12,1.0,0.99995947,1.0,0,7,1,6,1
5,13,1.0,0.9998848,1.0,0,7,1,7,1
5,14,1.0,0.999921,1.0,0,7,1,8,1
5,15,1.0,0.99989015,1.0,0,7,1,10,1
6,8,1.0,0.99978834,1.0,0,8,1,1,1
6,9,1.0,0.9998586,1.0,0,8,1,2,1
6,10,1.0,0.99960107,1.0,0,8,1,3,1
6,11,1.0,0.9999005,1.0,0,8,1,4,1
6,12,1.0,0.9999015,1.0,0,8,1,6,1
6,13,1.0,0.9995909,1.0,0,8,1,7,1
6,14,1.0,0.99980897,1.0,0,8,1,8,1
6,15,1.0,0.99958086,1.0,0,8,1,10,1
7,8,1.0,0.9981349,1.0,0,10,1,1,1
7,9,1.0,0.9963946,1.0,0,10,1,2,1
7,10,1.0,0.9995859,1.0,0,10,1,3,1
7,11,1.0,0.99551326,1.0,0,10,1,4,1
7,12,1.0,0.99397916,1.0,0,10,1,6,1
7,13,1.0,0.9994636,1.0,0,10,1,7,1
7,14,1.0,0.99651974,1.0,0,10,1,8,1
7,15,1.0,0.99967307,1.0,0,10,1,10,1
8,16,1.0,0.9997571,1.0,1,1,2,1,1
8,17,1.0,0.99979705,1.0,1,1,2,2,1
8,18,1.0,0.9968284,1.0,1,1,2,3,1
8,19,1.0,0.99986124,1.0,1,1,2,4,1
8,20,1.0,0.9998643,1.0,1,1,2,6,1
8,21,1.0,0.99655575,1.0,1,1,2,7,1
8,22,1.0,0.9997845,1.0,1,1,2,8,1
8,23,1.0,0.9953613,1.0,1,1,2,10,1
9,16,1.0,0.99933463,1.0,1,2,2,1,1
9,17,1.0,0.99984735,1.0,1,2,2,2,1
9,18,1.0,0.9985202,1.0,1,2,2,3,1
9,19,1.0,0.99991417,1.0,1,2,2,4,1
9,20,1.0,0.9999133,1.0,1,2,2,6,1
9,21,1.0,0.99860495,1.0,1,2,2,7,1
9,22,1.0,0.999815,1.0,1,2,2,8,1
9,23,1.0,0.9969508,1.0,1,2,2,10,1
10,16,1.0,0.99935526,1.0,1,3,2,1,1
10,17,1.0,0.99936277,1.0,1,3,2,2,1
10,18,1.0,0.99942684,1.0,1,3,2,3,1
10,19,1.0,0.9997659,1.0,1,3,2,4,1
10,20,1.0,0.99976844,1.0,1,3,2,6,1
10,21,1.0,0.99939066,1.0,1,3,2,7,1
10,22,1.0,0.999438,1.0,1,3,2,8,1
10,23,1.0,0.99830073,1.0,1,3,2,10,1
11,16,1.0,0.99974746,1.0,1,4,2,1,1
11,17,1.0,0.9998998,1.0,1,4,2,2,1
11,18,1.0,0.9996025,1.0,1,4,2,3,1
11,19,1.0,0.99994344,1.0,1,4,2,4,1
11,20,1.0,0.99994487,1.0,1,4,2,6,1
11,21,1.0,0.9995803,1.0,1,4,2,7,1
11,22,1.0,0.99988896,1.0,1,4,2,8,1
11,23,1.0,0.99946755,1.0,1,4,2,10,1
12,16,1.0,0.99964124,1.0,1,6,2,1,1
12,17,1.0,0.99987364,1.0,1,6,2,2,1
12,18,1.0,0.99953896,1.0,1,6,2,3,1
12,19,1.0,0.9999442,1.0,1,6,2,4,1
12,20,1.0,0.99994546,1.0,1,6,2,6,1
12,21,1.0,0.9995105,1.0,1,6,2,7,1
12,22,1.0,0.99987715,1.0,1,6,2,8,1
12,23,1.0,0.9993696,1.0,1,6,2,10,1
13,16,1.0,0.9994037,1.0,1,7,2,1,1
13,17,1.0,0.9993774,1.0,1,7,2,2,1
13,18,1.0,0.9994874,1.0,1,7,2,3,1
13,19,1.0,0.999764,1.0,1,7,2,4,1
13,20,1.0,0.99976635,1.0,1,7,2,6,1
13,21,1.0,0.99948496,1.0,1,7,2,7,1
13,22,1.0,0.9994216,1.0,1,7,2,8,1
13,23,1.0,0.96570015,1.0,1,7,2,10,1
14,16,1.0,0.9993575,1.0,1,8,2,1,1
14,17,1.0,0.9997027,1.0,1,8,2,2,1
14,18,1.0,0.9989242,1.0,1,8,2,3,1
14,19,1.0,0.9998916,1.0,1,8,2,4,1
14,20,1.0,0.9998944,1.0,1,8,2,6,1
14,21,1.0,0.9988522,1.0,1,8,2,7,1
14,22,1.0,0.999795,1.0,1,8,2,8,1
14,23,1.0,0.99849844,1.0,1,8,2,10,1
15,16,1.0,0.99931335,1.0,1,10,2,1,1
15,17,1.0,0.9991296,1.0,1,10,2,2,1
15,18,1.0,0.9980685,1.0,1,10,2,3,1
15,19,1.0,0.9997669,1.0,1,10,2,4,1
15,20,1.0,0.9997696,1.0,1,10,2,6,1
15,21,1.0,0.99721783,1.0,1,10,2,7,1
15,22,1.0,0.9994433,1.0,1,10,2,8,1
15,23,1.0,0.9994097,1.0,1,10,2,10,1
16,24,1.0,0.99973816,1.0,2,1,3,1,1
16,25,1.0,0.99983716,1.0,2,1,3,2,1
16,26,1.0,0.99873716,1.0,2,1,3,3,1
