frame,x,y,w,h,conf,class,track
0,663,38,56,52,1.0,1,-1
0,288,108,56,50,1.0,1,-1
0,673,132,54,56,1.0,1,-1
0,294,242,64,58,1.0,1,-1
0,316,483,61,58,1.0,1,-1
0,344,577,57,62,1.0,1,-1
0,551,633,50,64,1.0,1,-1
0,216,671,52,54,1.0,1,-1
1,663,38,56,52,1.0,1,-1
1,663,108,8,8,1.0,1,-1
1,290,110,56,48,1.0,1,-1
1,673,134,54,56,1.0,1,-1
1,294,244,64,56,1.0,1,-1
1,316,483,61,58,1.0,1,-1
1,342,579,59,58,1.0,1,-1
1,549,633,50,64,1.0,1,-1
1,216,671,54,56,1.0,1,-1
2,661,42,58,48,1.0,1,-1
2,290,108,56,50,1.0,1,-1
2,673,134,56,56,1.0,1,-1
2,290,242,66,58,1.0,1,-1
2,617,376,8,10,1.0,1,-1
2,316,485,59,58,1.0,1,-1
2,346,579,55,60,1.0,1,-1
2,551,633,48,62,1.0,1,-1
2,216,669,52,56,1.0,1,-1
3,661,42,56,50,1.0,1,-1
3,292,112,56,46,1.0,1,-1
3,671,136,56,54,1.0,1,-1
3,288,242,62,56,1.0,1,-1
3,316,485,59,58,1.0,1,-1
3,344,579,53,60,1.0,1,-1
3,551,633,48,62,1.0,1,-1
3,214,673,54,56,1.0,1,-1
4,659,46,60,46,1.0,1,-1
4,294,110,56,48,1.0,1,-1
4,671,138,56,54,1.0,1,-1
4,286,240,64,58,1.0,1,-1
4,316,487,61,56,1.0,1,-1
4,342,579,49,58,1.0,1,-1
4,551,633,48,60,1.0,1,-1
4,216,675,52,56,1.0,1,-1
5,661,46,56,48,1.0,1,-1
5,298,114,54,44,1.0,1,-1
5,673,140,56,56,1.0,1,-1
5,286,240,62,54,1.0,1,-1
5,318,485,61,56,1.0,1,-1
5,340,577,49,60,1.0,1,-1
5,547,635,52,60,1.0,1,-1
5,216,675,54,60,1.0,1,-1
6,659,46,58,48,1.0,1,-1
6,298,114,56,44,1.0,1,-1
6,673,142,54,56,1.0,1,-1
6,282,244,64,52,1.0,1,-1
6,320,481,61,58,1.0,1,-1
6,338,575,49,60,1.0,1,-1
6,545,637,54,56,1.0,1,-1
6,220,679,52,60,1.0,1,-1
7,659,46,56,50,1.0,1,-1
7,296,112,56,46,1.0,1,-1
7,671,142,54,58,1.0,1,-1
7,282,242,64,54,1.0,1,-1
7,322,477,63,58,1.0,1,-1
7,338,575,49,60,1.0,1,-1
7,543,639,54,56,1.0,1,-1
7,222,681,52,62,1.0,1,-1
8,659,42,54,52,1.0,1,-1
8,296,110,54,48,1.0,1,-1
8,667,142,56,60,1.0,1,-1
8,282,242,64,54,1.0,1,-1
8,725,389,10,12,1.0,1,-1
8,324,473,65,58,1.0,1,-1
8,338,575,47,58,1.0,1,-1
8,545,641,52,56,1.0,1,-1
8,226,685,52,62,1.0,1,-1
9,657,40,54,50,1.0,1,-1
9,294,110,52,46,1.0,1,-1
9,667,144,54,58,1.0,1,-1
9,282,240,64,54,1.0,1,-1
9,328,469,63,58,1.0,1,-1
9,336,577,49,56,1.0,1,-1
9,547,641,46,62,1.0,1,-1
9,226,685,54,62,1.0,1,-1
10,657,34,54,52,1.0,1,-1
10,292,106,48,52,1.0,1,-1
10,667,144,54,56,1.0,1,-1
10,286,238,64,54,1.0,1,-1
10,332,467,61,60,1.0,1,-1
10,340,579,43,54,1.0,1,-1
10,549,643,46,62,1.0,1,-1
10,230,687,50,62,1.0,1,-1
11,657,30,54,48,1.0,1,-1
11,20,74,8,8,1.0,1,-1
11,451,80,16,8,1.0,1,-1
11,292,104,46,54,1.0,1,-1
11,665,144,54,58,1.0,1,-1
11,352,156,10,8,1.0,1,-1
11,286,230,62,60,1.0,1,-1
11,334,467,61,58,1.0,1,-1
11,340,581,43,50,1.0,1,-1
11,721,597,12,8,1.0,1,-1
11,547,647,48,58,1.0,1,-1
11,232,691,50,64,1.0,1,-1
11,401,757,16,10,1.0,1,-1
12,280,4,14,8,1.0,1,-1
12,657,26,52,50,1.0,1,-1
12,254,42,8,8,1.0,1,-1
12,290,104,44,54,1.0,1,-1
12,663,144,56,54,1.0,1,-1
12,288,230,60,56,1.0,1,-1
12,525,278,8,10,1.0,1,-1
12,336,469,59,60,1.0,1,-1
12,146,525,8,8,1.0,1,-1
12,579,529,10,12,1.0,1,-1
12,152,541,12,8,1.0,1,-1
12,284,549,12,6,1.0,1,-1
12,541,571,14,12,1.0,1,-1
12,330,573,53,56,1.0,1,-1
12,549,647,50,60,1.0,1,-1
12,501,655,10,12,1.0,1,-1
12,234,691,50,68,1.0,1,-1
12,134,743,8,8,1.0,1,-1
12,358,751,8,14,1.0,1,-1
12,483,761,8,8,1.0,1,-1
13,603,4,10,6,1.0,1,-1
13,655,24,52,50,1.0,1,-1
13,292,104,44,54,1.0,1,-1
13,659,144,56,58,1.0,1,-1
13,405,152,10,8,1.0,1,-1
13,288,226,54,58,1.0,1,-1
13,332,471,61,60,1.0,1,-1
13,721,543,10,10,1.0,1,-1
13,176,567,10,8,1.0,1,-1
13,332,571,53,64,1.0,1,-1
13,547,649,52,60,1.0,1,-1
13,236,697,50,64,1.0,1,-1
14,655,20,46,52,1.0,1,-1
14,290,102,44,56,1.0,1,-1
14,657,146,56,54,1.0,1,-1
14,290,224,50,60,1.0,1,-1
14,469,230,10,8,1.0,1,-1
14,166,366,14,16,1.0,1,-1
14,330,475,63,58,1.0,1,-1
14,352,565,37,44,1.0,1,-1
14,322,595,44,50,1.0,1,-1
14,427,637,10,8,1.0,1,-1
14,202,643,8,10,1.0,1,-1
14,551,649,52,62,1.0,1,-1
14,308,653,8,8,1.0,1,-1
