Cell_Number, Life_Time, Total_Traveled_Distance, Net_Traveled_Distance, Mean_MSD
1, 1102.000000, 14.910157, 11.529143, 57.857053
2, 551.000000, 5.577675, 2.943855, 4.527364
3, 551.000000, 4.870785, 0.451688, 0.642393
4, 551.000000, 6.048242, 1.541052, 3.081961
5, 696.000000, 10.183073, 1.710512, 5.488079
6, 783.000000, 7.170941, 3.670434, 6.315037
7, 1392.000000, 15.787382, 6.197735, 27.859930
8, 406.000000, 2.870609, 1.857720, 1.508639
9, 29.000000, 0.000000, 0.000000, NaN
10, 58.000000, 2.409360, 2.409360, 5.805013
11, 87.000000, 0.450924, 0.244930, 0.058729
12, 1856.000000, 18.704136, 7.939474, 23.642490
13, 174.000000, 2.036489, 1.003186, 0.800417
14, 551.000000, 5.690761, 1.528056, 2.403672
15, 319.000000, 3.386993, 2.668598, 3.265988
16, 1595.000000, 17.578785, 4.620913, 8.512401
17, 29.000000, 0.000000, 0.000000, NaN
18, 58.000000, 1.799182, 1.799182, 3.237055
19, 493.000000, 4.937881, 0.872586, 0.816741
20, 1682.000000, 18.020248, 0.963291, 3.401714
21, 464.000000, 4.730110, 1.565026, 2.131496
22, 1682.000000, 28.022281, 11.588599, 64.842296
23, 29.000000, 0.000000, 0.000000, NaN
24, 58.000000, 1.928794, 1.928794, 3.720247
25, 261.000000, 2.593535, 1.202709, 0.609190
26, 261.000000, 2.120183, 1.230384, 0.830425
27, 1566.000000, 17.153880, 1.299437, 3.105795
28, 1624.000000, 24.582340, 4.739420, 18.963547
29, 116.000000, 1.467189, 1.285814, 0.850923
30, 29.000000, 0.000000, 0.000000, NaN
31, 58.000000, 2.685429, 2.685429, 7.211529
32, 1392.000000, 13.923972, 3.392499, 7.632894
33, 58.000000, 0.151193, 0.151193, 0.022859
34, 1624.000000, 18.206393, 2.968598, 4.086894
35, 1537.000000, 14.893271, 3.083832, 5.317507
36, 1276.000000, 18.082936, 4.200642, 5.937527
37, 1189.000000, 12.210625, 2.093591, 1.890271
38, 261.000000, 3.629086, 1.541433, 1.476474
39, 87.000000, 1.297399, 0.162093, 0.225065
40, 58.000000, 0.249281, 0.249281, 0.062141
41, 377.000000, 3.125999, 0.970987, 0.314579
42, 1914.000000, 25.715530, 8.187586, 48.921838
43, 58.000000, 0.546152, 0.546152, 0.298282
44, 58.000000, 0.806937, 0.806937, 0.651148
45, 58.000000, 1.243403, 1.243403, 1.546052
46, 29.000000, 0.000000, 0.000000, NaN
47, 29.000000, 0.000000, 0.000000, NaN
48, 29.000000, 0.000000, 0.000000, NaN
49, 29.000000, 0.000000, 0.000000, NaN
50, 87.000000, 2.415540, 2.376988, 4.208959
51, 58.000000, 0.566127, 0.566127, 0.320500
52, 58.000000, 0.287879, 0.287879, 0.082874
53, 29.000000, 0.000000, 0.000000, NaN
54, 986.000000, 9.939541, 0.841381, 2.243313
55, 58.000000, 1.996141, 1.996141, 3.984577
56, 58.000000, 0.903016, 0.903016, 0.815438
57, 87.000000, 1.508524, 1.437236, 1.318487
58, 29.000000, 0.000000, 0.000000, NaN
59, 87.000000, 2.676534, 2.461993, 3.930285
60, 29.000000, 0.000000, 0.000000, NaN
61, 1218.000000, 14.824812, 4.333007, 6.926807
62, 116.000000, 1.693750, 1.690570, 1.395571
63, 29.000000, 0.000000, 0.000000, NaN
64, 696.000000, 9.219521, 6.202162, 9.760644
65, 319.000000, 2.789544, 1.268402, 0.913694
66, 609.000000, 6.706187, 1.412874, 2.162146
67, 609.000000, 5.122102, 3.926041, 5.523244
68, 261.000000, 2.360771, 0.398967, 0.269984
69, 87.000000, 0.835739, 0.627301, 0.299090
70, 319.000000, 2.416050, 0.527788, 0.239646
71, 29.000000, 0.000000, 0.000000, NaN
72, 58.000000, 2.762282, 2.762282, 7.630201
73, 58.000000, 0.450571, 0.450571, 0.203015
74, 87.000000, 2.765834, 2.521800, 4.881589
75, 725.000000, 12.986838, 6.409214, 24.040263
76, 435.000000, 4.681555, 3.018353, 4.017009
77, 116.000000, 2.917208, 2.880697, 4.672437
78, 87.000000, 0.665679, 0.659178, 0.273185
79, 319.000000, 2.751795, 1.819278, 1.635885
80, 319.000000, 2.707932, 0.202727, 0.379430
81, 174.000000, 1.536696, 1.112969, 0.648098
82, 319.000000, 5.225140, 4.803235, 6.617885
83, 145.000000, 1.212003, 1.085889, 0.544270
84, 174.000000, 4.207836, 2.308110, 3.059029
85, 261.000000, 2.741952, 2.409526, 2.266593
86, 261.000000, 1.926233, 1.500018, 0.844921
87, 261.000000, 2.088179, 0.960413, 0.502548
88, 261.000000, 2.348157, 1.758584, 1.292887
89, 29.000000, 0.000000, 0.000000, NaN
90, 1798.000000, 16.656332, 4.393260, 7.871869
91, 261.000000, 2.905600, 2.722269, 2.852180
92, 58.000000, 2.415763, 2.415763, 5.835910
93, 232.000000, 1.812319, 1.377316, 0.756849
94, 232.000000, 2.006594, 0.750080, 0.406889
95, 203.000000, 2.583857, 1.240240, 1.140477
96, 87.000000, 0.445194, 0.428863, 0.116743
97, 29.000000, 0.000000, 0.000000, NaN
98, 58.000000, 2.607438, 2.607438, 6.798731
99, 145.000000, 0.723775, 0.687443, 0.225920
100, 145.000000, 1.351915, 0.534782, 0.181118
101, 58.000000, 0.193537, 0.193537, 0.037457
102, 232.000000, 10.818580, 3.510403, 17.444495
103, 87.000000, 0.528463, 0.176464, 0.054371
104, 116.000000, 2.929516, 2.448672, 3.905617
105, 638.000000, 8.840609, 2.642803, 4.844480
106, 464.000000, 5.727955, 2.769803, 5.133533
107, 1595.000000, 16.747488, 7.119402, 20.953849
108, 1595.000000, 18.654418, 4.695150, 10.294197
