id,centroid_x,centroid_y,area,perimeter,circularity,bbox_x,bbox_y,bbox_width,bbox_height,img_height,img_width
1,7.8835,610.45,249,54.98,0.92626,0.5,601.5,16,18,18,16
2,30.834,652.25,1449,139.5,0.8949,10.5,627.5,38,52,52,38
3,166.21,736.51,1729,148.23,0.94827,144.5,711.5,46,50,50,46
4,216.54,697.88,1190,126,0.89669,196.5,679.5,42,42,42,42
5,253.64,302.07,1436,132.92,0.97475,230.5,282.5,44,42,42,44
6,257.54,658.57,1365,135.67,0.89017,234.5,639.5,50,38,38,50
7,248.14,717.91,478,78.832,0.8939,236.5,701.5,22,30,30,22
8,264.61,221.99,1349,135.38,0.88341,238.5,200.5,48,40,40,48
9,297.04,451.99,2086,161.52,0.96675,272.5,425.5,52,52,52,52
10,288.22,618.54,635,95.231,0.82458,274.5,601.5,28,34,34,28
11,296.39,262.01,274,56.684,0.96203,288.5,252.5,16,20,20,16
12,308.57,157.97,926,107.98,0.94244,292.5,142.5,34,34,34,34
13,333.53,658.88,2817,189.59,0.95302,302.5,625.5,62,64,64,62
14,327.06,506.1,1366,131.12,0.95232,306.5,483.5,42,44,44,42
15,324.5,260.29,1200,129.2,0.86104,310.5,236.5,28,48,48,28
16,337.41,219.76,985,108.82,0.98743,318.5,202.5,38,34,34,38
17,357.99,113.52,1606,147.52,0.88906,336.5,88.5,45,48,48,45
18,365.84,577.36,1552,140.7,0.94261,344.5,553.5,45,44,44,45
19,377.97,515.12,1732,152.2,0.902,358.5,491.5,45,48,48,45
20,388.22,69.529,1312,128,0.95869,368.5,46.5,39,44,44,39
21,392.04,177,1105,119.19,0.92789,375.5,158.5,34,40,40,34
22,403.41,656.24,1534,139.25,0.9507,385.5,631.5,38,50,50,38
23,421.7,590.86,1833,152.49,0.95104,397.5,565.5,50,50,50,50
24,484.36,633.75,1774,147.28,0.98529,461.5,611.5,46,46,46,46
25,522.63,682.56,1237,125.01,0.94649,501.5,665.5,42,36,36,42
26,516.33,7.6407,334,67.757,0.83499,503.5,0.5,24,16,16,24
27,582.33,151.1,1795,150.93,0.95021,557.5,126.5,48,50,50,48
28,579.12,617.66,741,95.488,0.95722,565.5,601.5,28,34,34,28
29,592.57,681.85,1824,151.3,0.96101,567.5,657.5,50,48,48,50
30,596.19,206.55,1422,133.96,0.95066,573.5,188.5,46,36,36,46
31,649.79,9.1002,509,86.242,0.80059,633.5,0.5,32,22,22,32
32,657.12,652.25,1572,146.97,0.87665,635.5,625.5,48,50,50,48
33,683.05,75.448,3525,223.38,0.86329,641.5,50.5,86,50,50,86
